Date;Horaire;Distance;
28/09/2021;10:52:25;;
28/09/2021;10:52:52;3.430209;
28/09/2021;10:52:53;3.431149;
28/09/2021;10:52:54;3.426104;
28/09/2021;10:52:56;3.425483;
28/09/2021;10:52:57;3.425083;
28/09/2021;10:52:58;3.423868;
28/09/2021;10:53:00;3.425774;
28/09/2021;10:53:01;3.42505;
28/09/2021;10:53:03;3.424027;
28/09/2021;10:53:04;3.419565;
28/09/2021;10:53:05;3.422594;
28/09/2021;10:53:07;3.422809;
28/09/2021;10:53:08;3.420686;
28/09/2021;10:53:10;3.41818;
28/09/2021;10:53:11;3.419033;
28/09/2021;10:53:12;3.415784;
28/09/2021;10:53:14;3.415633;
28/09/2021;10:53:15;3.418817;
28/09/2021;10:53:16;3.415829;
28/09/2021;10:53:18;3.417226;
28/09/2021;10:53:19;3.416041;
28/09/2021;10:53:20;3.415436;
28/09/2021;10:53:22;3.418134;
28/09/2021;10:53:23;3.417782;
28/09/2021;10:53:24;3.420725;
28/09/2021;10:53:26;3.41874;
28/09/2021;10:53:27;3.414799;
28/09/2021;10:53:28;3.41792;
28/09/2021;10:53:30;3.413514;
28/09/2021;10:53:31;3.412455;
28/09/2021;10:53:32;3.413964;
28/09/2021;10:53:34;3.412049;
28/09/2021;10:53:35;3.412406;
28/09/2021;10:53:37;3.413907;
28/09/2021;10:53:38;3.415517;
28/09/2021;10:53:39;3.414617;
28/09/2021;10:53:41;3.418271;
28/09/2021;10:53:42;3.413919;
28/09/2021;10:53:43;3.41439;
28/09/2021;10:53:45;3.417551;
28/09/2021;10:53:46;3.416052;
28/09/2021;10:53:47;3.417067;
28/09/2021;10:53:49;3.417295;
28/09/2021;10:53:50;3.419197;
28/09/2021;10:53:51;3.418716;
28/09/2021;10:53:53;3.411337;
28/09/2021;10:53:54;3.416653;
28/09/2021;10:53:55;3.422137;
28/09/2021;10:53:57;3.419784;
28/09/2021;10:53:58;3.42752;
28/09/2021;10:54:00;3.422006;
28/09/2021;10:54:01;3.418897;
28/09/2021;10:54:02;3.420405;
28/09/2021;10:54:04;3.416947;
28/09/2021;10:54:05;3.417264;
28/09/2021;10:54:06;3.419889;
28/09/2021;10:54:08;3.417757;
28/09/2021;10:54:09;3.41978;
28/09/2021;10:54:10;3.418501;
28/09/2021;10:54:12;3.418393;
28/09/2021;10:54:13;3.428776;
28/09/2021;10:54:15;3.418931;
28/09/2021;10:54:16;3.422167;
28/09/2021;10:54:17;3.427743;
28/09/2021;10:54:19;3.423164;
28/09/2021;10:54:20;3.420977;
